,capacity_1,capacity_2,capacity_3,capacity_4
569,2946.0,1768.0,1597.0,1470.0
570,3292.0,1962.0,1748.0,1517.0
571,3314.0,1950.0,1806.0,1619.0
572,3262.0,1953.0,1646.0,1479.0
573,3158.0,1856.0,1695.0,1580.0
574,2752.0,1636.0,1477.0,1257.0
575,3668.0,2147.0,1924.0,1679.0
576,3252.0,1891.0,1717.0,1566.0
577,3234.0,1958.0,1710.0,1595.0
578,3116.0,1816.0,1588.0,1457.0
579,3620.0,2183.0,1853.0,1749.0
580,3206.0,1881.0,1620.0,1493.0
581,3266.0,1863.0,1628.0,1474.0
582,3646.0,2169.0,1817.0,1665.0
583,2698.0,1676.0,1529.0,1447.0
584,3744.0,2182.0,1930.0,1698.0
585,3634.0,2161.0,1910.0,1771.0
586,4096.0,2408.0,2096.0,1882.0
587,3374.0,2003.0,1655.0,1462.0
588,3062.0,1807.0,1639.0,1508.0
589,3772.0,2235.0,1959.0,1822.0
590,3920.0,2227.0,1929.0,1785.0
591,3874.0,2269.0,1932.0,1680.0
592,3058.0,1848.0,1618.0,1573.0
593,2620.0,1584.0,1446.0,1261.0
594,3346.0,1963.0,1720.0,1574.0
595,3656.0,2167.0,1763.0,1538.0
596,3954.0,2344.0,2003.0,1678.0
597,3890.0,2243.0,1878.0,1543.0
598,3504.0,2080.0,1846.0,1692.0
599,2986.0,1821.0,1643.0,1454.0
600,3034.0,1816.0,1662.0,1556.0
601,2922.0,1761.0,1557.0,1415.0
602,4024.0,2353.0,1989.0,1794.0
603,3534.0,2062.0,1835.0,1559.0
604,3068.0,1776.0,1733.0,1653.0
605,3268.0,1874.0,1705.0,1541.0
606,3258.0,1940.0,1782.0,1590.0
607,3590.0,2062.0,1802.0,1681.0
608,3588.0,2078.0,1804.0,1657.0
609,3840.0,2316.0,1990.0,1817.0
610,3556.0,2127.0,1772.0,1714.0
611,3498.0,2107.0,1870.0,1684.0
612,3538.0,2086.0,1809.0,1612.0
613,3396.0,2003.0,1730.0,1545.0
614,3374.0,1982.0,1705.0,1683.0
615,3398.0,2023.0,1751.0,1509.0
616,3072.0,1785.0,1578.0,1488.0
617,3620.0,2121.0,1900.0,1746.0
618,3092.0,1840.0,1640.0,1466.0
619,3234.0,1968.0,1713.0,1534.0
620,3448.0,2040.0,1795.0,1625.0
621,3404.0,2024.0,1802.0,1655.0
622,3086.0,1866.0,1719.0,1662.0
623,2954.0,1774.0,1578.0,1455.0
624,4092.0,2394.0,2151.0,1908.0
625,3504.0,2088.0,1860.0,1552.0
626,3334.0,1980.0,1741.0,1592.0
627,3582.0,2088.0,1786.0,1689.0
628,3354.0,1969.0,1660.0,1536.0
