,capacity_1,capacity_2,capacity_3,capacity_4
798,1068.0,683.0,563.0,540.0
799,1328.0,821.0,707.0,594.0
800,1356.0,819.0,692.0,574.0
801,1074.0,733.0,606.0,555.0
802,1120.0,730.0,576.0,528.0
803,1586.0,992.0,785.0,662.0
804,1504.0,910.0,771.0,664.0
805,1252.0,804.0,661.0,595.0
806,1530.0,962.0,750.0,648.0
807,926.0,592.0,478.0,450.0
808,1042.0,702.0,594.0,555.0
809,1286.0,837.0,697.0,653.0
810,1422.0,910.0,711.0,656.0
811,1064.0,677.0,536.0,484.0
812,1216.0,783.0,655.0,567.0
813,1374.0,863.0,717.0,631.0
814,1318.0,852.0,700.0,648.0
815,1272.0,829.0,680.0,629.0
816,1110.0,735.0,647.0,585.0
817,1512.0,974.0,815.0,718.0
818,1412.0,865.0,716.0,646.0
819,930.0,625.0,528.0,483.0
820,1358.0,811.0,619.0,556.0
821,1330.0,880.0,715.0,694.0
822,1636.0,1045.0,830.0,743.0
823,948.0,642.0,544.0,494.0
824,1342.0,837.0,726.0,626.0
825,1384.0,898.0,778.0,697.0
826,1340.0,828.0,673.0,625.0
827,1758.0,1093.0,855.0,723.0
828,1278.0,832.0,654.0,585.0
829,1320.0,806.0,715.0,617.0
830,882.0,544.0,501.0,448.0
831,1392.0,846.0,715.0,665.0
832,1074.0,683.0,548.0,459.0
833,862.0,577.0,485.0,462.0
834,1400.0,920.0,759.0,692.0
835,1042.0,646.0,549.0,497.0
836,1532.0,897.0,738.0,641.0
837,1070.0,698.0,523.0,492.0
838,1306.0,818.0,654.0,591.0
839,1268.0,784.0,623.0,574.0
840,1418.0,924.0,743.0,676.0
841,1104.0,703.0,613.0,560.0
842,1226.0,788.0,641.0,574.0
843,1500.0,983.0,832.0,748.0
844,796.0,578.0,504.0,465.0
845,1198.0,777.0,602.0,547.0
846,1272.0,780.0,663.0,557.0
847,1066.0,665.0,574.0,498.0
848,1278.0,846.0,712.0,655.0
849,1294.0,820.0,639.0,575.0
850,1316.0,834.0,676.0,583.0
851,1334.0,822.0,670.0,585.0
852,1270.0,844.0,712.0,639.0
853,1258.0,809.0,675.0,609.0
854,1306.0,832.0,696.0,611.0
855,1544.0,979.0,738.0,670.0
856,1000.0,622.0,468.0,421.0
857,1336.0,853.0,696.0,655.0
858,1336.0,830.0,646.0,556.0
859,1608.0,1002.0,823.0,712.0
860,1294.0,838.0,697.0,649.0
861,1376.0,889.0,747.0,684.0
862,1586.0,992.0,827.0,697.0
863,1432.0,890.0,735.0,669.0
864,1170.0,752.0,644.0,570.0
865,922.0,599.0,498.0,456.0
866,1596.0,960.0,768.0,667.0
867,1092.0,746.0,654.0,600.0
868,1500.0,890.0,737.0,619.0
869,1118.0,724.0,601.0,564.0
870,1538.0,927.0,806.0,683.0
871,1380.0,881.0,713.0,630.0
872,1320.0,871.0,712.0,625.0
873,1980.0,1263.0,938.0,815.0
874,1422.0,904.0,718.0,655.0
875,1466.0,909.0,788.0,712.0
876,1382.0,897.0,730.0,662.0
877,1256.0,825.0,634.0,599.0
878,1446.0,920.0,767.0,683.0
879,932.0,615.0,500.0,454.0
